在厩,インジャスティス,牡,ファルブラヴ,リトミックダンス,ダンスインザダーク,フォーエバーマーク,山本　英俊,美浦,藤沢和雄,社台ファーム,2013/02/27,,,地獄モード対象馬,,,2015/06/05
在厩,ウィズエモーション,牝,クロフネ,ミスアルダント,サンデーサイレンス,ミオリチャン,社台レースホース,美浦,栗田博憲,社台ファーム,2013/04/21,,,,一口馬主モード対象馬,社台サラブレッドクラブ,2015/06/05
在厩,ウインオスカー,牡,スクリーンヒーロー,グローリサンディ,エイシンサンディ,,ウイン,栗東,飯田雄三,中本牧場,2013/03/31,,,地獄モード対象馬,一口馬主モード対象馬,ウインレーシングクラブ,2015/06/05
在厩,ウイングラウベン,牡,ロージズインメイ,ベリーフ,スペシャルウィーク,,ウイン,美浦,松山将樹,コスモヴューファーム,2013/04/06,,,地獄モード対象馬,一口馬主モード対象馬,ウインレーシングクラブ,2015/06/05
在厩,ウインストアヘッド,牡,ヴァーミリアン,ガーデンスタイル,デヒア,,ウイン,美浦,清水英克,木村　秀則,2013/01/16,北海道サマーセール,5940000,地獄モード対象馬,一口馬主モード対象馬,ウインレーシングクラブ,2015/06/05
在厩,ウインバーニング,牡,ディープスカイ,シルクフレアー,Danzig,シルクヴェルリッツ,ウイン,美浦,武市康男,中本牧場,2013/03/20,北海道セレクションセール,6804000,地獄モード対象馬,一口馬主モード対象馬,ウインレーシングクラブ,2015/06/05
在厩,ウインファビラス,牝,ステイゴールド,サマーエタニティ,アドマイヤコジーン,,ウイン,美浦,畠山吉宏,コスモヴューファーム,2013/05/03,,,,一口馬主モード対象馬,ウインレーシングクラブ,2015/06/05
在厩,ウインフェルベール,牡,サウスヴィグラス,フェレット,サンデーサイレンス,ホクセツキングオー,ウイン,栗東,鮫島一歩,藤巻　則弘,2013/04/27,北海道サマーセール,4212000,地獄モード対象馬,一口馬主モード対象馬,ウインレーシングクラブ,2015/06/05
在厩,ウインプリマ,牝,メイショウボーラー,ケイアイダンサー,フォーティナイナー,ケイアイプログレス,ウイン,美浦,高橋祥泰,コスモヴューファーム,2013/02/19,,,地獄モード対象馬,一口馬主モード対象馬,ウインレーシングクラブ,2015/06/05
在厩,ウインミモザ,牝,ゴールドアリュール,スギノセンヒメ,フォーティナイナー,ケイアイテンジン,ウイン,美浦,金成貴史,乾　皆雄,2013/02/28,セレクトセール,8640000,地獄モード対象馬,一口馬主モード対象馬,ウインレーシングクラブ,2015/06/05
在厩,ウインミリアルド,牡,ヴァーミリアン,ウンビジョン,ラムタラ,,ウイン,美浦,和田正一,鎌田　正嗣,2013/02/10,,,地獄モード対象馬,一口馬主モード対象馬,ウインレーシングクラブ,2015/06/05
